Year,Electoral college vote count,State
1792,0,Hawaii
1796,0,Hawaii
1800,0,Hawaii
1804,0,Hawaii
1808,0,Hawaii
1812,0,Hawaii
1816,0,Hawaii
1820,0,Hawaii
1824,0,Hawaii
1828,0,Hawaii
1832,0,Hawaii
1836,0,Hawaii
1840,0,Hawaii
1844,0,Hawaii
1848,0,Hawaii
1852,0,Hawaii
1856,0,Hawaii
1860,0,Hawaii
1864,0,Hawaii
1868,0,Hawaii
1872,0,Hawaii
1876,0,Hawaii
1880,0,Hawaii
1884,0,Hawaii
1888,0,Hawaii
1892,0,Hawaii
1896,0,Hawaii
1900,0,Hawaii
1904,0,Hawaii
1908,0,Hawaii
1912,0,Hawaii
1916,0,Hawaii
1920,0,Hawaii
1924,0,Hawaii
1928,0,Hawaii
1932,0,Hawaii
1936,0,Hawaii
1940,0,Hawaii
1944,0,Hawaii
1948,0,Hawaii
1952,0,Hawaii
1956,0,Hawaii
1960,3,Hawaii
1964,4,Hawaii
1968,4,Hawaii
1972,4,Hawaii
1976,4,Hawaii
1980,4,Hawaii
1984,4,Hawaii
1988,4,Hawaii
1992,4,Hawaii
1996,4,Hawaii
2000,4,Hawaii
2004,4,Hawaii
2008,4,Hawaii
2012,4,Hawaii
2016,4,Hawaii
2020,4,Hawaii
1788,0,Idaho
1792,0,Idaho
1796,0,Idaho
1800,0,Idaho
1804,0,Idaho
1808,0,Idaho
1812,0,Idaho
1816,0,Idaho
1820,0,Idaho
1824,0,Idaho
1828,0,Idaho
1832,0,Idaho
1836,0,Idaho
1840,0,Idaho
1844,0,Idaho
1848,0,Idaho
1852,0,Idaho
1856,0,Idaho
1860,0,Idaho
1864,0,Idaho
1868,0,Idaho
1872,0,Idaho
1876,0,Idaho
1880,0,Idaho
1884,0,Idaho
1888,0,Idaho
1892,3,Idaho
1896,3,Idaho
1900,3,Idaho
1904,3,Idaho
1908,3,Idaho
1912,4,Idaho
1916,4,Idaho
1920,4,Idaho
1924,4,Idaho
1928,4,Idaho
1932,4,Idaho
1936,4,Idaho
1940,4,Idaho
1944,4,Idaho
1948,4,Idaho
1952,4,Idaho
1956,4,Idaho
1960,4,Idaho
1964,4,Idaho
1968,4,Idaho
1972,4,Idaho
1976,4,Idaho
1980,4,Idaho
1984,4,Idaho
1988,4,Idaho
1992,4,Idaho
1996,4,Idaho
2000,4,Idaho
2004,4,Idaho
2008,4,Idaho
2012,4,Idaho
2016,4,Idaho
2020,4,Idaho
1788,0,Illinois
1792,0,Illinois
1796,0,Illinois
1800,0,Illinois
1804,0,Illinois
1808,0,Illinois
1812,0,Illinois
1816,0,Illinois
1820,3,Illinois
1824,3,Illinois
1828,3,Illinois
1832,5,Illinois
1836,5,Illinois
1840,5,Illinois
1844,9,Illinois
1848,9,Illinois
1852,11,Illinois
1856,11,Illinois
1860,11,Illinois
1864,16,Illinois
1868,16,Illinois
1872,21,Illinois
1876,21,Illinois
1880,21,Illinois
1884,22,Illinois
1888,22,Illinois
1892,24,Illinois
1896,24,Illinois
1900,24,Illinois
1904,27,Illinois
1908,27,Illinois
1912,29,Illinois
1916,29,Illinois
1920,29,Illinois
1924,29,Illinois
1928,29,Illinois
1932,29,Illinois
1936,29,Illinois
1940,29,Illinois
1944,28,Illinois
1948,28,Illinois
1952,27,Illinois
1956,27,Illinois
1960,27,Illinois
1964,26,Illinois
1968,26,Illinois
1972,26,Illinois
1976,26,Illinois
1980,26,Illinois
1984,24,Illinois
1988,24,Illinois
1992,22,Illinois
1996,22,Illinois
2000,22,Illinois
2004,21,Illinois
2008,21,Illinois
2012,20,Illinois
2016,20,Illinois
2020,20,Illinois
1788,0,Indiana
1792,0,Indiana
1796,0,Indiana
1800,0,Indiana
1804,0,Indiana
1808,0,Indiana
1812,0,Indiana
1816,3,Indiana
1820,3,Indiana
1824,5,Indiana
1828,5,Indiana
1832,9,Indiana
1836,9,Indiana
1840,9,Indiana
1844,12,Indiana
1848,12,Indiana
1852,13,Indiana
1856,13,Indiana
1860,13,Indiana
1864,13,Indiana
1868,13,Indiana
1872,15,Indiana
1876,15,Indiana
1880,15,Indiana
1884,15,Indiana
1888,15,Indiana
1892,15,Indiana
1896,15,Indiana
1900,15,Indiana
1904,15,Indiana
1908,15,Indiana
1912,15,Indiana
1916,15,Indiana
1920,15,Indiana
1924,15,Indiana
1928,15,Indiana
1932,14,Indiana
1936,14,Indiana
1940,14,Indiana
1944,13,Indiana
1948,13,Indiana
1952,13,Indiana
1956,13,Indiana
1960,13,Indiana
1964,13,Indiana
1968,13,Indiana
1972,13,Indiana
1976,13,Indiana
1980,13,Indiana
1984,12,Indiana
1988,12,Indiana
1992,12,Indiana
1996,12,Indiana
2000,12,Indiana
2004,11,Indiana
2008,11,Indiana
2012,11,Indiana
2016,11,Indiana
2020,11,Indiana
1788,0,Iowa
1792,0,Iowa
1796,0,Iowa
1800,0,Iowa
1804,0,Iowa
1808,0,Iowa
1812,0,Iowa
1816,0,Iowa
1820,0,Iowa
1824,0,Iowa
1828,0,Iowa
1832,0,Iowa
1836,0,Iowa
1840,0,Iowa
1844,0,Iowa
1848,4,Iowa
1852,4,Iowa
1856,4,Iowa
1860,4,Iowa
1864,8,Iowa
1868,8,Iowa
1872,11,Iowa
1876,11,Iowa
1880,11,Iowa
1884,13,Iowa
1888,13,Iowa
1892,13,Iowa
1896,13,Iowa
1900,13,Iowa
1904,13,Iowa
1908,13,Iowa
1912,13,Iowa
1916,13,Iowa
1920,13,Iowa
1924,13,Iowa
1928,13,Iowa
1932,11,Iowa
1936,11,Iowa
1940,11,Iowa
1944,10,Iowa
1948,10,Iowa
1952,10,Iowa
1956,10,Iowa
1960,10,Iowa
1964,9,Iowa
1968,9,Iowa
1972,8,Iowa
1976,8,Iowa
1980,8,Iowa
1984,8,Iowa
1988,8,Iowa
1992,7,Iowa
1996,7,Iowa
2000,7,Iowa
2004,7,Iowa
2008,7,Iowa
2012,6,Iowa
2016,6,Iowa
2020,6,Iowa
1788,0,Kansas
1792,0,Kansas
1796,0,Kansas
1800,0,Kansas
1804,0,Kansas
1808,0,Kansas
1812,0,Kansas
1816,0,Kansas
1820,0,Kansas
1824,0,Kansas
1828,0,Kansas
1832,0,Kansas
1836,0,Kansas
1840,0,Kansas
1844,0,Kansas
1848,0,Kansas
1852,0,Kansas
1856,0,Kansas
1860,0,Kansas
1864,3,Kansas
1868,3,Kansas
1872,5,Kansas
1876,5,Kansas
1880,5,Kansas
1884,9,Kansas
1888,9,Kansas
1892,10,Kansas
1896,10,Kansas
1900,10,Kansas
1904,10,Kansas
1908,10,Kansas
1912,10,Kansas
1916,10,Kansas
1920,10,Kansas
1924,10,Kansas
1928,10,Kansas
1932,9,Kansas
1936,9,Kansas
1940,9,Kansas
1944,8,Kansas
1948,8,Kansas
1952,8,Kansas
1956,8,Kansas
1960,8,Kansas
1964,7,Kansas
1968,7,Kansas
1972,7,Kansas
1976,7,Kansas
1980,7,Kansas
1984,7,Kansas
1988,7,Kansas
1992,6,Kansas
1996,6,Kansas
2000,6,Kansas
2004,6,Kansas
2008,6,Kansas
2012,6,Kansas
2016,6,Kansas
2020,6,Kansas
1788,0,Kentucky
1792,4,Kentucky
1796,4,Kentucky
1800,4,Kentucky
1804,8,Kentucky
1808,8,Kentucky
1812,12,Kentucky
1816,12,Kentucky
1820,12,Kentucky
1824,14,Kentucky
1828,14,Kentucky
1832,15,Kentucky
1836,15,Kentucky
1840,15,Kentucky
1844,12,Kentucky
1848,12,Kentucky
1852,12,Kentucky
1856,12,Kentucky
1860,12,Kentucky
1864,11,Kentucky
1868,11,Kentucky
1872,12,Kentucky
1876,12,Kentucky
1880,12,Kentucky
1884,13,Kentucky
1888,13,Kentucky
1892,13,Kentucky
1896,13,Kentucky
1900,13,Kentucky
1904,13,Kentucky
1908,13,Kentucky
1912,13,Kentucky
1916,13,Kentucky
1920,13,Kentucky
1924,13,Kentucky
1928,13,Kentucky
1932,11,Kentucky
1936,11,Kentucky
1940,11,Kentucky
1944,11,Kentucky
1948,11,Kentucky
1952,10,Kentucky
1956,10,Kentucky
1960,10,Kentucky
1964,9,Kentucky
1968,9,Kentucky
1972,9,Kentucky
1976,9,Kentucky
1980,9,Kentucky
1984,9,Kentucky
1988,9,Kentucky
1992,8,Kentucky
1996,8,Kentucky
2000,8,Kentucky
2004,8,Kentucky
2008,8,Kentucky
2012,8,Kentucky
2016,8,Kentucky
2020,8,Kentucky
1788,0,Louisiana
1792,0,Louisiana
1796,0,Louisiana
1800,0,Louisiana
1804,0,Louisiana
1808,0,Louisiana
1812,3,Louisiana
1816,3,Louisiana
1820,3,Louisiana
1824,5,Louisiana
1828,5,Louisiana
1832,5,Louisiana
1836,5,Louisiana
1840,5,Louisiana
1844,6,Louisiana
1848,6,Louisiana
1852,6,Louisiana
1856,6,Louisiana
1860,6,Louisiana
1864,0,Louisiana
1868,7,Louisiana
1872,8,Louisiana
1876,8,Louisiana
1880,8,Louisiana
1884,8,Louisiana
1888,8,Louisiana
1892,8,Louisiana
1896,8,Louisiana
1900,8,Louisiana
1904,9,Louisiana
1908,9,Louisiana
1912,10,Louisiana
1916,10,Louisiana
1920,10,Louisiana
1924,10,Louisiana
1928,10,Louisiana
1932,10,Louisiana
1936,10,Louisiana
1940,10,Louisiana
1944,10,Louisiana
1948,10,Louisiana
1952,10,Louisiana
1956,10,Louisiana
1960,10,Louisiana
1964,10,Louisiana
1968,10,Louisiana
1972,10,Louisiana
1976,10,Louisiana
1980,10,Louisiana
1984,10,Louisiana
1988,10,Louisiana
1992,9,Louisiana
1996,9,Louisiana
2000,9,Louisiana
2004,9,Louisiana
2008,9,Louisiana
2012,8,Louisiana
2016,8,Louisiana
2020,8,Louisiana
1788,0,Maine
1792,0,Maine
1796,0,Maine
1800,0,Maine
1804,0,Maine
1808,0,Maine
1812,0,Maine
1816,0,Maine
1820,9,Maine
1824,9,Maine
1828,9,Maine
1832,10,Maine
1836,10,Maine
1840,10,Maine
1844,9,Maine
1848,9,Maine
1852,8,Maine
1856,8,Maine
1860,8,Maine
1864,7,Maine
1868,7,Maine
1872,7,Maine
1876,7,Maine
1880,7,Maine
1884,6,Maine
1888,6,Maine
1892,6,Maine
1896,6,Maine
1900,6,Maine
1904,6,Maine
1908,6,Maine
1912,6,Maine
1916,6,Maine
1920,6,Maine
1924,6,Maine
1928,6,Maine
1932,5,Maine
1936,5,Maine
1940,5,Maine
1944,5,Maine
1948,5,Maine
1952,5,Maine
1956,5,Maine
1960,5,Maine
1964,4,Maine
1968,4,Maine
1972,4,Maine
1976,4,Maine
1980,4,Maine
1984,4,Maine
1988,4,Maine
1992,4,Maine
1996,4,Maine
2000,4,Maine
2004,4,Maine
2008,4,Maine
2012,4,Maine
2016,4,Maine
2020,4,Maine
1788,8,Maryland
1792,10,Maryland
1796,10,Maryland
1800,10,Maryland
1804,11,Maryland
1808,11,Maryland
1812,11,Maryland
1816,11,Maryland
1820,11,Maryland
1824,11,Maryland
1828,11,Maryland
1832,10,Maryland
1836,10,Maryland
1840,10,Maryland
1844,8,Maryland
1848,8,Maryland
1852,8,Maryland
1856,8,Maryland
1860,8,Maryland
1864,7,Maryland
1868,7,Maryland
1872,8,Maryland
1876,8,Maryland
1880,8,Maryland
1884,8,Maryland
1888,8,Maryland
1892,8,Maryland
1896,8,Maryland
1900,8,Maryland
1904,8,Maryland
1908,8,Maryland
1912,8,Maryland
1916,8,Maryland
1920,8,Maryland
1924,8,Maryland
1928,8,Maryland
1932,8,Maryland
1936,8,Maryland
1940,8,Maryland
1944,8,Maryland
1948,8,Maryland
1952,9,Maryland
1956,9,Maryland
1960,9,Maryland
1964,10,Maryland
1968,10,Maryland
1972,10,Maryland
1976,10,Maryland
1980,10,Maryland
1984,10,Maryland
1988,10,Maryland
1992,10,Maryland
1996,10,Maryland
2000,10,Maryland
2004,10,Maryland
2008,10,Maryland
2012,10,Maryland
2016,10,Maryland
2020,10,Maryland
1788,10,Massachusetts
1792,16,Massachusetts
1796,16,Massachusetts
1800,16,Massachusetts
1804,19,Massachusetts
1808,19,Massachusetts
1812,22,Massachusetts
1816,22,Massachusetts
1820,15,Massachusetts
1824,15,Massachusetts
1828,15,Massachusetts
1832,14,Massachusetts
1836,14,Massachusetts
1840,14,Massachusetts
1844,12,Massachusetts
1848,12,Massachusetts
1852,13,Massachusetts
1856,13,Massachusetts
1860,13,Massachusetts
1864,12,Massachusetts
1868,12,Massachusetts
1872,13,Massachusetts
1876,13,Massachusetts
1880,13,Massachusetts
1884,14,Massachusetts
1888,14,Massachusetts
1892,15,Massachusetts
1896,15,Massachusetts
1900,15,Massachusetts
1904,16,Massachusetts
1908,16,Massachusetts
1912,18,Massachusetts
1916,18,Massachusetts
1920,18,Massachusetts
1924,18,Massachusetts
1928,18,Massachusetts
1932,17,Massachusetts
1936,17,Massachusetts
1940,17,Massachusetts
1944,16,Massachusetts
1948,16,Massachusetts
1952,16,Massachusetts
1956,16,Massachusetts
1960,16,Massachusetts
1964,14,Massachusetts
1968,14,Massachusetts
1972,14,Massachusetts
1976,14,Massachusetts
1980,14,Massachusetts
1984,13,Massachusetts
1988,13,Massachusetts
1992,12,Massachusetts
1996,12,Massachusetts
2000,12,Massachusetts
2004,12,Massachusetts
2008,12,Massachusetts
2012,11,Massachusetts
2016,11,Massachusetts
2020,11,Massachusetts
1788,0,Michigan
1792,0,Michigan
1796,0,Michigan
1800,0,Michigan
1804,0,Michigan
1808,0,Michigan
1812,0,Michigan
1816,0,Michigan
1820,0,Michigan
1824,0,Michigan
1828,0,Michigan
1832,0,Michigan
1836,3,Michigan
1840,3,Michigan
1844,5,Michigan
1848,5,Michigan
1852,6,Michigan
1856,6,Michigan
1860,6,Michigan
1864,8,Michigan
1868,8,Michigan
1872,11,Michigan
1876,11,Michigan
1880,11,Michigan
1884,13,Michigan
1888,13,Michigan
1892,14,Michigan
1896,14,Michigan
1900,14,Michigan
1904,14,Michigan
1908,14,Michigan
1912,15,Michigan
1916,15,Michigan
1920,15,Michigan
1924,15,Michigan
1928,15,Michigan
1932,19,Michigan
1936,19,Michigan
1940,19,Michigan
1944,19,Michigan
1948,19,Michigan
1952,20,Michigan
1956,20,Michigan
1960,20,Michigan
1964,21,Michigan
1968,21,Michigan
1972,21,Michigan
1976,21,Michigan
1980,21,Michigan
1984,20,Michigan
1988,20,Michigan
1992,18,Michigan
1996,18,Michigan
2000,18,Michigan
2004,17,Michigan
2008,17,Michigan
2012,16,Michigan
2016,16,Michigan
2020,16,Michigan
1788,0,Minnesota
1792,0,Minnesota
1796,0,Minnesota
1800,0,Minnesota
1804,0,Minnesota
1808,0,Minnesota
1812,0,Minnesota
1816,0,Minnesota
1820,0,Minnesota
1824,0,Minnesota
1828,0,Minnesota
1832,0,Minnesota
1836,0,Minnesota
1840,0,Minnesota
1844,0,Minnesota
1848,0,Minnesota
1852,0,Minnesota
1856,0,Minnesota
1860,4,Minnesota
1864,4,Minnesota
1868,4,Minnesota
1872,5,Minnesota
1876,5,Minnesota
1880,5,Minnesota
1884,7,Minnesota
