Link,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2016 (est.),2017 (est.),2018 (est.),2019 (est.),2020 (est.),County,State
"https://en.wikipedia.org/wiki/Hale_County,_Alabama",,,,,,,,,—,21.8%,3.6%,12.8%,−10.1%,−12.9%,8.1%,−2.8%,−18.4%,−6.2%,−18.7%,−1.8%,−0.7%,10.9%,−8.3%,,,,−7.0%,,Hale County, Alabama
"https://en.wikipedia.org/wiki/Henry_County,_Alabama",,,,—,52.4%,44.0%,55.8%,65.4%,−4.9%,32.2%,32.4%,45.5%,−42.1%,2.9%,5.9%,−4.0%,−14.8%,−18.1%,−13.3%,15.5%,0.5%,6.1%,6.1%,,,,−0.6%,,Henry County, Alabama
"https://en.wikipedia.org/wiki/Houston_County,_Alabama",,,,,,,,,,,,,—,15.2%,23.0%,−0.6%,1.9%,9.0%,11.5%,31.9%,9.0%,9.2%,14.4%,,,,4.3%,,Houston County, Alabama
"https://en.wikipedia.org/wiki/Jackson_County,_Alabama",,,,—,45.1%,23.7%,−10.4%,29.8%,6.2%,29.4%,11.6%,8.9%,7.9%,8.9%,2.8%,13.3%,−6.7%,−5.9%,6.9%,31.1%,−7.0%,12.8%,−1.3%,,,,−3.0%,,Jackson County, Alabama
"https://en.wikipedia.org/wiki/Jefferson_County,_Alabama",,,,,—,4.0%,26.1%,30.7%,5.1%,88.5%,280.3%,58.7%,61.3%,36.9%,39.2%,6.6%,21.5%,13.6%,1.6%,4.1%,−3.0%,1.6%,−0.5%,,,,0.0%,,Jefferson County, Alabama
"https://en.wikipedia.org/wiki/Lamar_County,_Alabama",,,,,,,,,—,36.5%,16.8%,13.4%,8.7%,3.8%,−0.8%,9.5%,−16.6%,−13.2%,0.4%,14.8%,−4.5%,1.2%,−8.4%,,,,−5.2%,,Lamar County, Alabama
"https://en.wikipedia.org/wiki/Lauderdale_County,_Alabama",,,,—,137.4%,23.0%,18.6%,1.4%,−13.4%,39.4%,12.9%,11.9%,16.5%,27.9%,4.0%,12.4%,17.2%,13.7%,10.5%,18.3%,−1.1%,10.4%,5.4%,,,,0.0%,,Lauderdale County, Alabama
"https://en.wikipedia.org/wiki/Lawrence_County,_Alabama",,,,—,73.2%,−11.2%,14.6%,−8.4%,19.2%,28.4%,−3.1%,−2.9%,9.2%,10.6%,10.8%,3.5%,−2.7%,−9.7%,11.3%,10.6%,4.5%,10.4%,−1.3%,,,,−4.1%,,Lawrence County, Alabama
"https://en.wikipedia.org/wiki/Lee_County,_Alabama",,,,,,,,,—,25.3%,5.3%,10.9%,3.3%,−0.1%,9.9%,1.1%,23.6%,10.4%,23.1%,24.5%,14.2%,32.1%,21.9%,,,,17.3%,,Lee County, Alabama
"https://en.wikipedia.org/wiki/Limestone_County,_Alabama",,,,—,50.0%,−2.9%,14.7%,−7.1%,−1.9%,43.8%,−1.8%,5.6%,20.1%,16.6%,16.9%,−2.7%,0.3%,2.1%,14.2%,10.3%,17.7%,21.3%,26.0%,,,,19.5%,,Limestone County, Alabama
"https://en.wikipedia.org/wiki/Lowndes_County,_Alabama",,,,,—,107.6%,12.2%,26.5%,−7.2%,21.2%,1.2%,13.0%,−10.5%,−20.3%,−10.0%,−0.9%,−20.5%,−14.4%,−16.3%,2.8%,−4.5%,6.4%,−16.1%,,,,−13.9%,,Lowndes County, Alabama
"https://en.wikipedia.org/wiki/Macon_County,_Alabama",,,,,,—,139.2%,−0.4%,−33.9%,−2.0%,6.1%,25.4%,12.6%,−9.6%,15.0%,2.0%,10.5%,−12.6%,−7.0%,8.0%,−7.1%,−3.3%,−11.0%,,,,−15.8%,,Macon County, Alabama
"https://en.wikipedia.org/wiki/Madison_County,_Alabama",,,—,272.0%,60.1%,−8.2%,2.8%,0.1%,18.2%,20.3%,1.3%,14.6%,7.6%,9.0%,26.0%,2.6%,9.9%,61.0%,59.0%,5.6%,21.3%,15.8%,21.0%,,,,11.4%,,Madison County, Alabama
"https://en.wikipedia.org/wiki/Marengo_County,_Alabama",,,,—,162.5%,124.2%,61.2%,12.0%,−16.1%,18.1%,7.1%,15.8%,4.2%,−9.7%,1.0%,−1.9%,−17.5%,−8.1%,−12.1%,5.2%,−7.8%,−2.4%,−6.7%,,,,−10.3%,,Marengo County, Alabama
"https://en.wikipedia.org/wiki/Marion_County,_Alabama",,,,,—,44.1%,34.0%,42.8%,−45.8%,54.5%,21.2%,27.7%,20.7%,25.8%,18.0%,10.8%,−5.3%,−19.9%,8.9%,26.3%,−0.7%,4.6%,−1.4%,,,,−3.5%,,Marion County, Alabama
"https://en.wikipedia.org/wiki/Marshall_County,_Alabama",,,,,,—,17.1%,29.7%,−14.0%,47.8%,29.8%,23.0%,22.6%,14.4%,21.8%,6.5%,6.4%,6.5%,12.9%,21.0%,7.9%,16.1%,13.1%,,,,4.0%,,Marshall County, Alabama
"https://en.wikipedia.org/wiki/Mobile_County,_Alabama",,,,—,134.5%,199.0%,47.3%,49.0%,19.9%,−1.3%,6.0%,21.6%,28.9%,23.8%,18.2%,19.9%,62.8%,36.0%,1.0%,15.0%,3.7%,5.6%,3.3%,,,,0.1%,,Mobile County, Alabama
"https://en.wikipedia.org/wiki/Monroe_County,_Alabama",,,,—,−0.6%,21.6%,12.5%,30.4%,−9.3%,20.2%,11.1%,24.6%,14.7%,6.4%,4.1%,−2.0%,−12.7%,−13.1%,−6.7%,8.5%,5.8%,1.5%,−5.2%,,,,−10.1%,,Monroe County, Alabama
"https://en.wikipedia.org/wiki/Montgomery_County,_Alabama",,,,—,92.2%,93.6%,20.9%,20.8%,21.7%,19.8%,7.3%,28.3%,14.1%,−1.6%,22.0%,16.0%,21.5%,21.8%,−0.8%,17.4%,6.1%,6.9%,2.6%,,,,−1.3%,,Montgomery County, Alabama
"https://en.wikipedia.org/wiki/Morgan_County,_Alabama",,,,—,72.2%,8.6%,2.9%,12.0%,7.5%,34.8%,46.6%,19.6%,17.2%,19.0%,14.9%,4.3%,9.9%,14.2%,27.9%,16.7%,10.9%,11.0%,7.6%,,,,0.2%,,Morgan County, Alabama
"https://en.wikipedia.org/wiki/Perry_County,_Alabama",,,,—,215.1%,66.1%,16.8%,24.4%,−9.9%,23.1%,−4.6%,8.4%,−1.8%,−18.7%,4.0%,0.9%,−23.2%,−15.1%,−11.3%,−2.4%,−15.0%,−7.0%,−10.7%,,,,−15.7%,,Perry County, Alabama
"https://en.wikipedia.org/wiki/Pickens_County,_Alabama",,,,,—,158.5%,25.7%,3.7%,−20.7%,21.4%,4.6%,8.6%,2.7%,1.2%,−1.8%,11.1%,−12.0%,−10.1%,−7.1%,5.7%,−3.6%,1.2%,−5.7%,,,,0.9%,,Pickens County, Alabama
"https://en.wikipedia.org/wiki/Pike_County,_Alabama",,,,,—,42.2%,57.5%,53.5%,−28.7%,18.5%,18.3%,19.4%,5.6%,2.6%,1.9%,0.8%,−5.8%,−15.1%,−3.7%,12.0%,−1.6%,7.3%,11.1%,,,,0.7%,,Pike County, Alabama
"https://en.wikipedia.org/wiki/Randolph_County,_Alabama",,,,,,—,132.9%,73.2%,−40.1%,38.1%,3.9%,25.7%,13.9%,9.8%,−0.8%,−5.0%,−11.8%,−13.5%,−5.9%,9.5%,−1.0%,12.6%,2.4%,,,,−0.8%,,Randolph County, Alabama
"https://en.wikipedia.org/wiki/Russell_County,_Alabama",,,,,,—,44.7%,36.0%,−18.6%,14.8%,−3.0%,12.4%,−4.2%,5.8%,−0.3%,30.7%,12.8%,14.8%,−2.1%,4.3%,−1.0%,6.2%,6.4%,,,,9.5%,,Russell County, Alabama
"https://en.wikipedia.org/wiki/St._Clair_County,_Alabama",,,,—,43.4%,−5.6%,21.1%,61.3%,−15.0%,54.5%,20.0%,11.9%,6.6%,12.9%,4.8%,11.5%,−2.4%,−4.9%,10.1%,47.4%,21.4%,29.5%,29.1%,,,,7.1%,,St. Clair County, Alabama
"https://en.wikipedia.org/wiki/Shelby_County,_Alabama",,,,—,136.1%,7.2%,56.0%,32.3%,−3.2%,41.1%,21.2%,13.4%,13.8%,0.5%,1.8%,5.0%,4.8%,5.8%,18.4%,74.3%,49.9%,44.2%,36.1%,,,,11.6%,,Shelby County, Alabama
"https://en.wikipedia.org/wiki/Sumter_County,_Alabama",,,,,,—,−25.7%,8.0%,0.3%,19.2%,2.9%,10.6%,−12.3%,−10.9%,5.3%,1.5%,−13.6%,−15.1%,−15.3%,−0.4%,−4.3%,−8.5%,−7.0%,,,,−9.7%,,Sumter County, Alabama
"https://en.wikipedia.org/wiki/Talladega_County,_Alabama",,,,,,—,48.0%,26.3%,−23.2%,29.3%,25.6%,21.9%,6.0%,8.1%,10.3%,14.6%,22.8%,2.9%,−0.3%,13.1%,0.4%,8.4%,2.5%,,,,−2.8%,,Talladega County, Alabama
"https://en.wikipedia.org/wiki/Tallapoosa_County,_Alabama",,,,,,—,141.8%,52.9%,−28.8%,38.0%,8.8%,16.6%,4.6%,−4.2%,4.9%,13.1%,−0.6%,−0.2%,−3.3%,14.6%,0.2%,6.8%,0.3%,,,,−3.0%,,Tallapoosa County, Alabama
"https://en.wikipedia.org/wiki/Tuscaloosa_County,_Alabama",,,,—,65.8%,21.5%,8.9%,28.5%,−13.4%,24.3%,21.6%,19.1%,31.6%,12.9%,19.5%,18.5%,23.7%,15.9%,6.4%,18.5%,9.4%,9.5%,18.1%,,,,7.6%,,Tuscaloosa County, Alabama
"https://en.wikipedia.org/wiki/Walker_County,_Alabama",,,,,—,83.1%,27.1%,55.7%,−18.0%,44.9%,69.6%,56.5%,47.1%,36.7%,17.5%,8.0%,−0.7%,−15.0%,3.8%,22.1%,−1.4%,4.5%,−5.2%,,,,−5.2%,,Walker County, Alabama
"https://en.wikipedia.org/wiki/Washington_County,_Alabama",,—,133.6%,41.0%,−15.6%,52.6%,−48.8%,72.1%,−16.2%,16.0%,74.9%,40.3%,29.8%,−1.2%,14.6%,−1.1%,−3.6%,−1.5%,5.7%,3.6%,−0.8%,8.4%,−2.9%,,,,−7.1%,,Washington County, Alabama
"https://en.wikipedia.org/wiki/Wilcox_County,_Alabama",,,,—,227.3%,60.0%,13.6%,41.9%,15.3%,12.2%,−3.2%,15.6%,−5.1%,−8.1%,−19.9%,5.6%,−10.7%,−20.2%,−13.0%,−9.5%,−8.0%,−2.8%,−11.5%,,,,−11.1%,,Wilcox County, Alabama
"https://en.wikipedia.org/wiki/Winston_County,_Alabama",,,,,,,—,131.9%,16.2%,2.4%,54.1%,45.8%,34.6%,11.8%,8.5%,20.2%,−2.6%,−18.6%,12.1%,31.8%,0.5%,12.7%,−1.4%,,,,−3.5%,,Winston County, Alabama
"https://en.wikipedia.org/wiki/Apache_County,_Arizona",,,,,,,,,,—,−19.0%,93.8%,10.8%,43.5%,34.6%,35.6%,15.2%,9.6%,6.1%,61.3%,18.2%,12.7%,3.0%,,,,0.5%,,Apache County, Arizona
"https://en.wikipedia.org/wiki/Cochise_County,_Arizona",,,,,,,,,,,—,33.3%,273.9%,34.3%,−11.8%,−15.5%,−9.1%,74.8%,12.5%,38.4%,13.9%,20.6%,11.5%,,,,−4.1%,,Cochise County, Arizona
"https://en.wikipedia.org/wiki/Coconino_County,_Arizona",,,,,,,,,,,,—,47.4%,22.8%,40.9%,33.5%,27.4%,75.1%,15.5%,55.2%,28.8%,20.4%,15.6%,,,,6.7%,,Coconino County, Arizona
"https://en.wikipedia.org/wiki/Gila_County,_Arizona",,,,,,,,,,,—,146.1%,228.7%,57.1%,20.8%,−23.0%,1.2%,6.6%,13.6%,26.7%,8.5%,27.6%,4.4%,,,,0.8%,,Gila County, Arizona
"https://en.wikipedia.org/wiki/Graham_County,_Arizona",,,,,,,,,,,—,149.8%,69.5%,−57.7%,2.2%,16.8%,7.2%,8.2%,18.0%,37.9%,16.1%,26.1%,11.1%,,,,4.3%,,Graham County, Arizona
"https://en.wikipedia.org/wiki/Greenlee_County,_Arizona",,,,,,,,,,,,,,—,−35.6%,−12.0%,47.2%,−10.1%,−10.2%,10.4%,−29.8%,6.7%,−1.3%,,,,12.6%,,Greenlee County, Arizona
"https://en.wikipedia.org/wiki/La_Paz_County,_Arizona",,,,,,,,,,,,,,,,,,,,,—,42.4%,3.9%,,,,3.0%,,La Paz County, Arizona
"https://en.wikipedia.org/wiki/Maricopa_County,_Arizona",,,,,,,,,,—,93.1%,86.2%,68.6%,159.7%,68.5%,23.3%,78.2%,100.0%,46.4%,55.4%,40.6%,44.8%,24.2%,,,,17.5%,,Maricopa County, Arizona
"https://en.wikipedia.org/wiki/Mohave_County,_Arizona",,,,,,,,,—,564.8%,21.3%,137.3%,10.1%,39.4%,6.0%,54.2%,−0.9%,−9.1%,234.2%,116.1%,67.4%,65.8%,29.1%,,,,6.0%,,Mohave County, Arizona
"https://en.wikipedia.org/wiki/Navajo_County,_Arizona",,,,,,,,,,,,—,29.9%,40.2%,31.9%,19.4%,16.3%,29.0%,25.6%,41.7%,14.8%,25.5%,10.2%,,,,3.2%,,Navajo County, Arizona
"https://en.wikipedia.org/wiki/Pima_County,_Arizona",,,,,,,,,—,197.5%,−25.5%,15.9%,55.3%,52.0%,60.5%,30.8%,93.9%,88.1%,32.4%,51.1%,25.5%,26.5%,16.2%,,,,6.8%,,Pima County, Arizona
"https://en.wikipedia.org/wiki/Pinal_County,_Arizona",,,,,,,,,,—,39.7%,83.0%,16.3%,78.3%,36.9%,30.6%,49.8%,45.1%,8.4%,33.9%,28.0%,54.4%,109.1%,,,,23.2%,,Pinal County, Arizona
"https://en.wikipedia.org/wiki/Santa_Cruz_County,_Arizona",,,,,,,,,,,,—,48.9%,87.5%,−23.7%,−2.1%,−0.7%,14.8%,29.2%,46.5%,45.1%,29.3%,23.6%,,,,−1.9%,,Santa Cruz County, Arizona
"https://en.wikipedia.org/wiki/Yavapai_County,_Arizona",,,,,,,,,—,134.0%,73.2%,58.9%,15.9%,50.1%,18.5%,−6.9%,−5.7%,15.7%,27.1%,85.5%,58.1%,55.5%,26.0%,,,,11.4%,,Yavapai County, Arizona
"https://en.wikipedia.org/wiki/Yuma_County,_Arizona",,,,,,,,,—,98.3%,−16.9%,55.2%,86.6%,92.7%,19.5%,8.5%,44.9%,65.1%,31.6%,48.9%,18.0%,49.7%,22.3%,,,,9.2%,,Yuma County, Arizona
"https://en.wikipedia.org/wiki/Arkansas_County,_Arkansas",,,,,—,−5.6%,141.1%,172.5%,−6.5%,−2.8%,42.2%,13.5%,24.1%,33.4%,3.8%,9.6%,−3.2%,−1.3%,0.0%,3.5%,−10.4%,−4.2%,−8.3%,,,,−8.1%,,Arkansas County, Arkansas
"https://en.wikipedia.org/wiki/Ashley_County,_Arkansas",,,,,,,—,317.4%,−6.4%,26.3%,30.9%,48.4%,28.0%,−7.4%,7.4%,6.5%,−4.2%,−5.6%,3.1%,6.3%,−8.4%,−0.5%,−9.7%,,,,−10.0%,,Ashley County, Arkansas
"https://en.wikipedia.org/wiki/Baxter_County,_Arkansas",,,,,,,,,,—,42.0%,9.0%,11.7%,−1.7%,−6.8%,8.0%,13.6%,−14.9%,54.1%,78.9%,13.8%,23.1%,8.1%,,,,1.0%,,Baxter County, Arkansas
"https://en.wikipedia.org/wiki/Benton_County,_Arkansas",,,,,,—,66.5%,150.8%,48.6%,47.0%,36.3%,14.1%,5.6%,8.6%,−2.8%,2.5%,5.3%,−4.7%,39.2%,54.8%,24.8%,57.3%,44.3%,,,,26.1%,,Benton County, Arkansas
"https://en.wikipedia.org/wiki/Boone_County,_Arkansas",,,,,,,,,—,72.7%,30.2%,3.7%,−12.7%,12.4%,−7.2%,6.2%,2.5%,−0.9%,18.3%,36.7%,8.6%,20.0%,8.7%,,,,1.4%,,Boone County, Arkansas
"https://en.wikipedia.org/wiki/Bradley_County,_Arkansas",,,,,,,—,119.1%,3.1%,−27.3%,26.8%,21.1%,50.4%,10.0%,9.5%,3.4%,−11.7%,−12.2%,−8.9%,8.0%,−14.6%,6.8%,−8.7%,,,,−6.5%,,Bradley County, Arkansas
"https://en.wikipedia.org/wiki/Calhoun_County,_Arkansas",,,,,,,,—,−6.1%,47.2%,28.1%,17.5%,15.9%,19.3%,−17.4%,−1.2%,−26.0%,−16.0%,−7.0%,9.1%,−4.2%,−1.4%,−6.5%,,,,−3.3%,,Calhoun County, Arkansas
"https://en.wikipedia.org/wiki/Carroll_County,_Arkansas",,,,,,—,62.2%,103.4%,−38.4%,130.7%,29.6%,9.0%,−10.7%,5.7%,−11.1%,−6.8%,−10.1%,−14.8%,9.0%,31.7%,15.1%,35.9%,8.2%,,,,3.4%,,Carroll County, Arkansas
"https://en.wikipedia.org/wiki/Chicot_County,_Arkansas",,,,,—,226.7%,34.4%,80.5%,−21.9%,40.2%,12.9%,27.2%,51.3%,−1.1%,4.1%,21.2%,−18.7%,−14.9%,−4.3%,−2.0%,−11.7%,−10.2%,−16.4%,,,,−14.3%,,Chicot County, Arkansas
"https://en.wikipedia.org/wiki/Clark_County,_Arkansas",,,,,—,68.7%,76.3%,139.2%,22.8%,31.9%,33.1%,1.4%,11.3%,8.2%,−2.7%,−2.1%,−5.8%,−8.9%,2.8%,8.3%,−8.1%,9.8%,−2.3%,,,,−2.9%,,Clark County, Arkansas
"https://en.wikipedia.org/wiki/Clay_County,_Arkansas",,,,,,,,,,—,69.1%,30.2%,49.1%,15.1%,0.0%,4.1%,−6.0%,−20.3%,−11.7%,9.8%,−12.2%,−2.8%,−8.7%,,,,−9.5%,,Clay County, Arkansas
"https://en.wikipedia.org/wiki/Cleburne_County,_Arkansas",,,,,,,,,,,—,22.1%,23.6%,6.7%,−10.4%,15.5%,−12.5%,−21.1%,14.2%,63.4%,14.8%,23.9%,7.5%,,,,−3.6%,,Cleburne County, Arkansas
"https://en.wikipedia.org/wiki/Cleveland_County,_Arkansas",,,,,,,,,,,—,2.3%,16.0%,−9.1%,3.9%,−1.4%,−28.8%,−22.5%,−4.9%,19.1%,−1.1%,10.2%,1.4%,,,,−8.4%,,Cleveland County, Arkansas
